;news_id;news_title;news_link;news_subtit;news_title_en;polarity;subjectivity;LV;EP;20M;PAV;ARA;PA;EM;LR;ABC
0;LV;Puigdemont y los exconsellers quedan en libertad con medidas cautelares;http://www.lavanguardia.com/politica/20171105/432662181821/puigdemont-exconsellers-libertad-condicional.html;;Puigdemont and exconsellers are released with precautionary measures;0.0;0.0;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
1;LV;Directo | Reacciones a la puesta en libertad con cargos de Puigdemont y los exconsellers;http://www.lavanguardia.com/politica/20171105/432607611721/puigdemont-detencion-bruselas-consellers-independencia-catalunya-en-directo.html;;Direct | Reactions to the release with charges of Puigdemont and exconsellers;0.1;0.4;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
2;LV;Puigdemont y cuatro exconsellers se entregan a la policía belga;http://www.lavanguardia.com/politica/20171105/432637866824/carles-puigdemont-consellers-govern-belgica.html;;Puigdemont and four exconsellers surrender to the Belgian police;0.0;0.0;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
3;LV;El ministro del Interior belga cree que España “ha ido demasiado lejos” y pide a Europa que intervenga;http://www.lavanguardia.com/politica/20171105/432656334842/jan-jambon-interior-belgica-espana.html;;"The Belgian Interior Minister believes that Spain ""has gone too far"" and asks Europe to intervene";0.1;1.0;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
4;LV;ERC gana el 21D pero el bloque independentista no asegura la mayoría absoluta;http://www.lavanguardia.com/politica/20171105/432613194444/sondeo-gad3-la-vanguardia-elecciones-21-diciembre-parlament-catalunya.html;;ERC wins 21D but the independence bloc does not ensure absolute majority;0.25;0.55;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
5;LV;Al límite: o gana España o gana la independencia;http://www.lavanguardia.com/politica/20171106/432657650118/en-diagonal-21d-independencia-espana-catalunya.html;;To the limit: either Spain wins or independence gains;0.3;0.2;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
6;LV;El PDeCAT propone a Puigdemont para liderar la lista unitaria;http://www.lavanguardia.com/politica/20171105/432640479812/pdecat-puigdemont-21d-lista-unitaria.html;;The PDeCAT proposes Puigdemont to lead the unitary list;0.0;0.0;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
7;LV;Miles de catalanes participan en una pega de carteles por la libertad;http://www.lavanguardia.com/politica/20171105/432640564719/pega-carteles-por-libertad-reivindicativo-catalunya.html;;Thousands of Catalans participate in a poster for freedom;0.0;0.0;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
8;LV;“Lehendakari, convocaré elecciones”;http://www.lavanguardia.com/politica/20171105/432613264114/conversacion-puigdemont-urkullu-declaracion-dui-planes-disolver-parlament-y-convocar-elecciones-catalunya.html;;"""Lehendakari, I will call elections""";0.0;0.0;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
9;LV;Sánchez avisa que la solución para Catalunya “no es la vía penal”;http://www.lavanguardia.com/politica/20171105/432645156188/pedro-sanchez-catalunya-penal-zaragoza.html;;"Sánchez warns that the solution for Catalonia ""is not the criminal way""";-0.4;0.55;[147, 10424, 71];[183, 12505, 68];[135, 10020, 74];[106, 7617, 72];[159, 11353, 71];[114, 8151, 72];[113, 8301, 73];[124, 9532, 0];[386, 27485, 0]
