news_id;news_title;news_link;news_subtit;news_title_en;polarity;subjectivity;LV;EP;20M;PAV;ARA;PA;EM;LR;ABC
LV;La CUP decide concurrir al “ilegítimo” 21-D con una “candidatura rupturista”;http://www.lavanguardia.com/politica/20171112/432844283657/cup-elecciones-catalunya-21d.html;;"The CUP decides to attend the ""illegitimate"" 21-D with a ""rupturist candidacy""";0,0;0,0;[0, 0];[1, 79];[1, 86];[0, 0];[1, 65];[0, 0];[0, 0];[0, 0];[0, 0]
LV;Rajoy pide a la “mayoría silenciada” que acuda en masa a las urnas el 21-D;http://www.lavanguardia.com/politica/20171111/432793617552/rajoy-barcelona-155.html;;"Rajoy asks the ""silenced majority"" to go en masse to the polls on 21-D";0,0;0,0;[0, 0];[1, 83];[0, 0];[0, 0];[0, 0];[0, 0];[1, 67];[1, 62];[2, 163]
LV;El partido de Colau rompe el pacto con el PSC en el Ayuntamiento de Barcelona;http://www.lavanguardia.com/local/barcelona/20171112/432834000520/colau-rompe-pacto-gobierno-psc-barcelona.html;;The party of Colau breaks the pact with the PSC in the City council of Barcelona;0,0;0,0;[0, 0];[1, 80];[1, 65];[1, 64];[1, 68];[2, 88];[1, 75];[1, 100];[1, 82]
LV;Clara Ponsatí: “El Govern no estaba preparado para aplicar la independencia”;http://www.lavanguardia.com/politica/20171112/432833413262/clara-ponsati-govern-no-preparado-independencia.html;;"Clara Ponsatí: ""The Government was not prepared to apply independence""";0,0;0,0;[0, 0];[2, 62];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[1, 87];[0, 0]
LV;Detenido tras degollar a su hija de dos años y saltar desde un segundo piso;http://www.lavanguardia.com/sucesos/20171112/432846824209/detenido-degollar-hija-dos-anos.html;;Detained after slaughtering his two-year-old daughter and jumping from a second floor;0,0;0,0;[0, 0];[1, 68];[1, 68];[0, 0];[0, 0];[1, 67];[1, 79];[2, 136];[0, 0]
LV;La supermodelo española Minerva Portillo relata los abusos de Terry Richardson;http://www.lavanguardia.com/vida/20171112/432819221236/minerva-portillo-la-victima-espanola-de-terry-richardson.html;;Spanish supermodel Minerva Portillo recounts the abuses of Terry Richardson;0,0;0,0;[0, 0];[1, 67];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[2, 122]
LV;Marc Márquez, tetracampeón del mundo con suspense;http://www.lavanguardia.com/deportes/motociclismo/20171112/432838276125/marquez-motogp-dovizioso-gp-de-valencia.html;;Marc Márquez, four-time world champion with suspense;0,0;0,0;[0, 0];[1, 68];[0, 0];[0, 0];[0, 0];[0, 0];[1, 75];[3, 250];[2, 166]
LV;La salvada milagrosa de Márquez que vale un Mundial de MotoGP;http://www.lavanguardia.com/deportes/motociclismo/20171112/432838533667/marc-marquez-salva-caida-mundial-gp-valencia.html;;The miraculous save of Márquez that is worth a MotoGP World Championship;0,3;0,1;[0, 0];[0, 0];[1, 80];[0, 0];[0, 0];[0, 0];[0, 0];[2, 124];[2, 154]
LV;Vettel saca su orgullo en Brasil;http://www.lavanguardia.com/deportes/formula-1/20171112/432846340422/sebastian-vettel-gp-brasil.html;;Vettel takes pride in Brazil;0,0;0,0;[0, 0];[0, 0];[0, 0];[1, 73];[0, 0];[1, 70];[0, 0];[0, 0];[0, 0]
LV;Puigdemont se enfrentará a ERC en el 21-D con la ‘lista del president’;http://www.lavanguardia.com/politica/20171112/432818966223/puigdemont-se-enfrentara-erc-lista-president.html;;Puigdemont will face ERC on 21-D with the 'president's list';0,0;0,0;[0, 0];[1, 67];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[2, 126];[0, 0]
LV;Tensión en Manresa durante una manifestación a favor de la unidad España;http://www.lavanguardia.com/politica/20171112/432843568175/tension-manresa-manifestaciones-unidad-espana.html;;Tension in Manresa during a demonstration in favor of unity Spain;0,0;0,0;[0, 0];[0, 0];[1, 64];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
LV;Reparar, reconstruir;http://www.lavanguardia.com/opinion/20171112/432819145646/reparar-reconstruir.html;;Repair, rebuild;0,0;0,0;[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
LV;Cuando Francesc Macià se refugió en Bruselas;http://www.lavanguardia.com/politica/20171112/432819128151/francesc-macia-refugio-bruselas.html;;When Francesc Macià took refuge in Brussels;0,0;0,0;[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
LV;Nuevo acto vandálico en el monumento de homenaje a Companys en el Tarrós;http://www.lavanguardia.com/politica/20171112/432841620234/monumento-companys-tarros-acto-vandalico.html;;New vandalic act in the monument of tribute to Companys in the Tarrós;0,1364;0,4545;[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[1, 81];[0, 0]
LV;Más de mil personas arropan a tres exconsejeros en Bruselas;http://www.lavanguardia.com/politica/20171112/432837491077/mil-personas-arropan-exconsejeros-bruselas.html;;More than a thousand people clothe three ex-advisers in Brussels;0,5;0,5;[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
