;news_id;news_title;news_link;news_subtit;news_title_en;polarity;subjectivity;LV;EP;20M;PAV;ARA;PA;EM;LR;ABC
0;LV;Directo | Adif cierra la estación de Sants en Barcelona por la protesta de la huelga general;http://www.lavanguardia.com/politica/elecciones/20171108/432708309367/huelga-general-independencia-catalunya-puigdemont-bruselas-en-directo.html;;Direct | Adif closes the Sants station in Barcelona for the protest of the general strike;0.075;0.45;[0, 0, 0];[0, 0, 0];[0, 0, 0];[2, 125, 62];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
1;LV;Centenares de personas cortan las vías del AVE en Barcelona y Girona;http://www.lavanguardia.com/local/girona/20171108/432719485798/miles-personas-cortan-via-ave-girona.html;;Hundreds of people cut the highways of the AVE in Barcelona and Girona;0.0;0.0;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 74, 74];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
2;LV;La huelga vuelve a sacar a la calle a los universitarios pero no a los de secundaria;http://www.lavanguardia.com/politica/20171108/432726356644/huelga-saca-callle-universitarios-no-alumnos-secundaria.html;;The strike returns to take to the street to the university students but not to those of secondary;-0.3;0.3;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 68, 0];[0, 0, 0]
3;LV;El seguimiento de la huelga ha sido “mínimo y residual”, según el Gobierno;http://www.lavanguardia.com/politica/20171108/432718686593/gobierno-huelga-minimo-residual-seguimiento-ensenanza.html;;"The follow-up of the strike has been ""minimal and residual"", according to the Government";-0.1;0.6;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 73, 73];[1, 68, 0];[0, 0, 0]
4;LV;Miles de personas exigen en el centro de Barcelona libertad de los presos;http://www.lavanguardia.com/politica/20171108/432725614519/concentracion-plaza-catedral-barcelona-libertad-presos.html;;Thousands of people demand freedom of prisoners in the center of Barcelona;-0.1;0.1;[0, 0, 0];[0, 0, 0];[1, 79, 79];[0, 0, 0];[2, 130, 65];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
5;LV;Marchas y concentraciones llenan las plazas consistoriales de Catalunya tras la huelga general;http://www.lavanguardia.com/local/tarragona/20171108/432722847191/concentracions-ayuntamientos-catalunya.html;;Marches and rallies fill the town squares of Catalunya after the general strike;0.05;0.5;[0, 0, 0];[0, 0, 0];[0, 0, 0];[2, 125, 62];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 67, 0];[0, 0, 0]
6;LV;El TC anula la DUI y denuncia a Forcadell;http://www.lavanguardia.com/politica/20171108/432718836677/tribunal-constitucional-anula-dui-declaracion-independencia-cataluna.html;;The TC cancels the DUI and denounces Forcadell;0.0;0.0;[0, 0, 0];[1, 100, 100];[1, 78, 78];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 85, 85];[1, 95, 0];[1, 85, 0]
7;LV;Lamela ya puede embargar los bienes por 6,2 millones a Puigdemont y exconsellers;http://www.lavanguardia.com/politica/20171108/432713109921/carmen-lamela-embargar-bienes-puigdemont-consellers-62-millones.html;;Lamela can now seize the goods for 6.2 million Puigdemont and exconsellers;0.0;0.0;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
8;LV;El TSJC pide al fiscal que informe si apoya investigar a Trapero y Colau por el 1-O;http://www.lavanguardia.com/politica/20171108/432727421962/tsjc-pide-fiscal-informe-apoya-investigar-trapero-colau-1o.html;;The TSJC asks the prosecutor to report if he supports investigating Trapero and Colau by 1-O;0.0;0.0;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 93, 0]
9;LV;Hacienda da un toque de atención a los alcaldes que fueron a Bruselas;http://www.lavanguardia.com/politica/20171108/432720479295/hacienda-avisa-alcaldes-fueron-bruselas-cargar-gastos-ayuntamiento.html;;Hacienda gives a touch of attention to the mayors who went to Brussels;0.0;0.0;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
